name	score
Gothic	5.7
8 Million Ways to Die	5.7
No Mercy	5.7
Haunted Honeymoon	5.6
TerrorVision	5.7
Allan Quatermain and the Lost City of Gold	4.4
Mona Lisa	7.4
Nothing in Common	5.9
Firewalker	5.0
Castaway	6.0
Vamp	5.9
Caravaggio	6.7
Mauvais Sang	7.3
Fire with Fire	6.6
Club Paradise	4.9
Legal Eagles	5.9
Clockwise	6.6
Extremities	6.3
Wise Guys	5.6
The Men's Club	4.5
Jean de Florette	8.1
Reform School Girls	5.2
Manon of the Spring	8.0
Shanghai Surprise	3.1
Power	5.7
Modern Girls	5.9
Crimes of the Heart	6.4
Nomads	5.5
Eliminators	4.5
Meatballs III: Summer Job	3.3
Murphy's Law	5.9
True Stories	7.0
Under the Cherry Moon	4.9
Every Time We Say Goodbye	5.9
Absolute Beginners	5.6
'Round Midnight	7.4
Avenging Force	5.9
Bullies	5.4
Biggles: Adventures in Time	5.8
American Anthem	4.0
Out of Bounds	5.4
My Chauffeur	5.6
Brighton Beach Memoirs	6.9
Summer	7.8
The Naked Cage	5.5
Link	5.9
Half Moon Street	5.4
'night, Mother	7.6
A Fine Mess	4.5
Hardbodies 2	2.9
The Assault	7.3
Willy/Milly	5.7
The Ladies Club	5.3
Let's Get Harry	5.2
Tai-Pan	5.5
Deadtime Stories	4.6
Heat	5.5
Touch and Go	5.8
The Boy in Blue	5.4
Sweet Liberty	5.7
Killer Party	4.7
Parting Glances	7.8
Care Bears Movie II: A New Generation	5.3
Jo Jo Dancer, Your Life Is Calling	6.3
Jake Speed	5.3
Born American	4.3
Blue City	4.4
Malcolm	7.2
Playing for Keeps	4.1
Duet for One	7.0
Nobody's Fool	5.5
The Whoopee Boys	6.2
That's Life!	6.1
Body Slam	5.3
Defense of the Realm	6.6
Man Facing Southeast	7.8
The Decline of the American Empire	7.3
Violets Are Blue...	5.7
The Whistle Blower	6.2
Native Son	5.9
Desert Bloom	6.6
Working Girls	6.5
Ménage	7.0
Oviri	6.2
In the Shadow of Kilimanjaro	5.1
Kangaroo	6.7
Dangerously Close	6.6
Nutcracker	7.2
Ginger and Fred	7.3
Dream Lover	5.1
Just Between Friends	5.9
Thunder Run	5.1
The Longshot	5.4
Off Beat	5.0
Streets of Gold	6.0
Weekend Warriors	4.4
Sky Bandits	4.6
Armed Response	4.9
Otello	7.2
On the Edge	7.1
Low Blow	3.5
Belizaire the Cajun	6.4
A Man and a Woman: 20 Years Later	5.8
Quiet Cool	5.7
Behind Enemy Lines	4.9
Wired to Kill	4.2
The Fringe Dwellers	6.7
Scene of the Crime	6.9
GoBots: Battle of the Rock Lords	5.8
The Gospel According to Vic	6.1
Knights of the City	4.8
Saving Grace	7.0
Jackals	5.3
Detective School Dropouts	5.8
Where the River Runs Black	6.6
Heathcliff: The Movie	5.3
One More Saturday Night	5.7
The Princess Bride	8.1
Hellraiser	7.0
Full Metal Jacket	8.3
Dirty Dancing	6.9
The Lost Boys	7.3
Predator	7.8
The Running Man	6.6
Spaceballs	7.1
RoboCop	7.5
Lethal Weapon	7.6
The Untouchables	7.9
Evil Dead II	7.8
Masters of the Universe	5.4
The Monster Squad	7.2
Fatal Attraction	6.9
The Living Daylights	6.7
Wall Street	7.4
Empire of the Sun	7.8
Can't Buy Me Love	6.7
The Witches of Eastwick	6.5
Summer School	6.5
A Nightmare on Elm Street 3: Dream Warriors	6.6
Adventures in Babysitting	6.9
Hamburger Hill	6.7
Jaws: The Revenge	2.9
Over the Top	5.7
Planes, Trains & Automobiles	7.6
Raising Arizona	7.4
Angel Heart	7.3
Some Kind of Wonderful	7.1
Mannequin	5.8
Overboard	6.8
Innerspace	6.8
Moonstruck	7.1
Beverly Hills Cop II	6.5
Harry and the Hendersons	5.9
The Last Emperor	7.8
Good Morning, Vietnam	7.3
Maurice	7.7
3 Men and a Baby	5.9
Prince of Darkness	6.7
La Bamba	6.8
Near Dark	7.0
Wings of Desire	8.1
Less Than Zero	6.4
No Way Out	7.1
*batteries not included	6.6
Baby Boom	6.1
Withnail & I	7.8
Flowers in the Attic	5.7
Broadcast News	7.2
Túnel al infierno	6.0
Superman IV: The Quest for Peace	3.6
Creepshow 2	6.0
Teen Wolf Too	3.2
Roxanne	6.6
The Secret of My Succe$s	6.5
Dragnet	5.9
Rita, Sue and Bob Too	6.4
Blind Date	5.9
House II: The Second Story	5.4
Police Academy 4: Citizens on Patrol	4.8
The Garbage Pail Kids Movie	2.7
Throw Momma from the Train	6.2
The Stepfather	6.8
The Hidden	7.0
Amazon Women on the Moon	6.2
Barfly	7.3
Three O'Clock High	7.2
Babette's Feast	7.8
The Believers	6.1
The Pick-up Artist	5.2
Radio Days	7.6
Aria	5.8
Ernest Goes to Camp	5.5
Au Revoir les Enfants	8.0
Someone to Watch Over Me	6.1
Who's That Girl	4.7
Cry Freedom	7.5
The Fourth Protocol	6.5
Ironweed	6.8
Black Widow	6.3
Stakeout	6.6
Like Father Like Son	5.1
Bagdad Cafe	7.5
Shy People	6.9
Revenge of the Nerds II: Nerds in Paradise	4.9
Prom Night II	5.6
Death Wish 4: The Crackdown	5.3
Project X	6.1
North Shore	6.5
Man on Fire	5.9
The Barbarians	4.9
Ishtar	4.2
Hollywood Shuffle	7.0
Hunk	4.6
House of Games	7.3
No Man's Land	6.1
The Curse	4.9
Suspect	6.6
The Principal	6.2
Hope and Glory	7.4
Outrageous Fortune	6.1
Extreme Prejudice	6.6
American Ninja 2: The Confrontation	4.8
Matewan	7.9
Three for the Road	5.3
Leonard Part 6	2.2
Street Smart	6.4
Prick Up Your Ears	7.4
The Sicilian	5.3
Born in East L.A.	5.9
Light of Day	5.5
Pelle the Conqueror	7.9
Return to Horror High	4.2
Back to the Beach	5.8
Nightflyers	4.0
Fatal Beauty	5.3
White Water Summer	6.2
The Whales of August	7.6
Hiding Out	6.4
My Best Friend Is a Vampire	6.1
Malone	5.6
Hot Pursuit	5.8
Real Men	6.2
A Prayer for the Dying	6.4
Gardens of Stone	6.4
Wanted: Dead or Alive	5.9
The Chipmunk Adventure	7.2
The Kindred	5.5
Made in Heaven	6.5
Wisdom	5.7
White Mischief	6.3
September	6.7
The Dead	7.4
Steel Dawn	5.0
Prison	5.9
Nuts	6.7
Tin Men	6.5
The Hanoi Hilton	6.0
Rampage	6.3
The Big Town	5.9
Wish You Were Here	6.8
The Allnighter	4.0
The Belly of an Architect	7.0
Best Seller	6.5
Siesta	5.6
Promised Land	5.7
The Bedroom Window	6.4
Dark Eyes	7.6
Maid to Order	5.5
Square Dance	6.1
Straight to Hell	5.8
Burglar	5.0
In the Mood	6.1
84 Charing Cross Road	7.5
Silent Night, Deadly Night 2	3.5
Five Corners	6.3
Date with an Angel	5.8
Walker	6.6
Deadly Illusion	4.7
Slam Dance	5.3
The Squeeze	4.6
Personal Services	6.4
Assassination	5.1
Creepozoids	3.5
China Girl	6.1
Nadine	5.5
Dead of Winter	6.3
No Retreat, No Surrender 2	5.1
The Glass Menagerie	7.2
Anguish	6.7
A Month in the Country	7.2
From a Whisper to a Scream	6.0
Hello Again	5.1
Little Dorrit	7.5
Walk Like a Man	4.6
Tough Guys Don't Dance	4.8
Disorderlies	4.8
Sister, Sister	5.5
Making Mr. Right	5.3
White of the Eye	6.4
Russkies	5.6
Surrender	5.4
Housekeeping	7.3
The Year My Voice Broke	7.5
Hell High	5.0
A Man in Love	5.8
From the Hip	6.2
Cross My Heart	5.7
Big Shots	5.6
Critical Condition	5.2
Cyclone	4.4
Morgan Stewart's Coming Home	5.4
Cold Steel	4.5
Zombie High	4.2
Intervista	7.1
My Demon Lover	4.6
Rumpelstiltskin	5.4
World Gone Wild	5.2
Enemy Territory	6.5
Julia and Julia	5.7
Crazy Love	7.0
Weeds	6.0
The Grand Highway	7.5
Peter Kenna's The Good Wife	5.8
Rent-a-Cop	4.3
Boyfriends and Girlfriends	7.7
Sammy and Rosie Get Laid	6.7
Death Before Dishonor	4.9
The Killing Time	5.4
Eat the Rich	6.0
The Trouble with Spies	4.0
Benji the Hunted	6.3
The Rosary Murders	5.7
Swimming to Cambodia	7.8
Penitentiary III	3.7
Steele Justice	4.8
Four Adventures of Reinette and Mirabelle	7.9
Beyond Therapy	4.7
Beetlejuice	7.5
Coming to America	7.0
Child's Play	6.6
Die Hard	8.2
Willow	7.3
Heathers	7.3
Rain Man	8.0
They Live	7.3
Who Framed Roger Rabbit	7.7
Akira	8.1
Big	7.3
Cocktail	5.8
Cinema Paradiso	8.5
The Blob	6.4
Pumpkinhead	6.2
A Fish Called Wanda	7.6
Killer Klowns from Outer Space	6.1
Midnight Run	7.6
Hellbound: Hellraiser II	6.5
Mississippi Burning	7.8
The Naked Gun: From the Files of Police Squad!	7.6
Bloodsport	6.8
Working Girl	6.7
Crocodile Dundee II	5.5
The Land Before Time	7.4
Twins	6.0
Dangerous Liaisons	7.7
The Unbearable Lightness of Being	7.4
The Big Blue	7.6
Beaches	6.8
Halloween 4: The Return of Michael Myers	5.9
Young Guns	6.8
Red Heat	6.0
Mystic Pizza	6.2
Rambo III	5.7
Acusados	7.1
The Last Temptation of Christ	7.6
Hairspray	7.0
Dirty Rotten Scoundrels	7.3
A Nightmare on Elm Street 4: The Dream Master	5.7
Stand and Deliver	7.3
The Great Outdoors	6.6
Two Moon Junction	5.0
Bull Durham	7.1
Above the Law	6.0
Earth Girls Are Easy	5.2
Oliver & Company	6.7
The Dead Pool	6.3
Elvira: Mistress of the Dark	6.4
Scrooged	7.0
Tequila Sunrise	6.0
Frantic	6.9
Friday the 13th Part VII: The New Blood	5.3
License to Drive	6.3
The Adventures of Baron Munchausen	7.2
Dead Ringers	7.3
Poltergeist III	4.6
Fright Night Part 2	5.9
I'm Gonna Git You Sucka	6.6
Johnny Be Good	4.5
Maniac Cop	6.0
Married to the Mob	6.1
Colors	6.7
El Hotel de los Fantasmas	5.7
Running on Empty	7.7
Night of the Demons	6.3
Mac and Me	3.4
Critters 2	5.3
My Stepmother Is an Alien	5.2
Return of the Living Dead II	5.8
Short Circuit 2	5.6
Gorillas in the Mist	7.0
Vampire's Kiss	5.9
A Night in the Life of Jimmy Reardon	5.5
Some Girls	6.0
The Lair of the White Worm	5.9
Waxwork	6.2
The Serpent and the Rainbow	6.5
Las travesuras de una pelirojja	5.9
Eight Men Out	7.3
Lady in White	6.7
Women on the Verge of a Nervous Breakdown	7.6
She's Having a Baby	5.8
Phantasm II	6.5
Luces de una gran ciudad	5.6
The Presidio	6.0
Big Business	6.3
Monkey Shines	6.2
Funny Farm	6.1
Without a Clue	7.0
Alien Nation	6.3
1969	5.8
976-EVIL	5.1
Action Jackson	5.2
The Milagro Beanfield War	6.9
Tucker: The Man and His Dream	6.9
Police Academy 5: Assignment: Miami Beach	4.4
School Daze	5.8
Vice Versa	5.8
Miracle Mile	7.0
Time of the Gypsies	8.3
The Accidental Tourist	6.8
Cocoon: The Return	5.3
The Beast of War	7.4
Apartment Zero	6.9
The Seventh Sign	5.9
Masquerade	6.0
Another Woman	7.4
Bird	7.2
Drowning by Numbers	7.3
A Cry in the Dark	6.9
Biloxi Blues	6.6
Talk Radio	7.3
The Bear	7.7
Casual Sex?	4.9
Caddyshack II	3.7
Vibes	5.5
Shoot to Kill	6.8
For Keeps?	5.9
Young Einstein	5.1
Criminal Law	5.7
Satisfaction	4.8
Betrayed	6.3
Clean and Sober	6.7
Al borde del terror	5.3
Escorpion rojo	5.0
D.O.A.	6.1
Appointment with Death	6.2
Salaam Bombay!	8.0
Bat*21	6.4
Return to Snowy River	6.6
Pulse	5.5
Stealing Home	6.8
Moving	6.1
18 Again!	5.7
Fresh Horses	5.0
Torch Song Trilogy	7.7
Dead Heat	6.0
Not of This Earth	4.5
Little Nikita	6.0
Punchline	5.8
The Rescue	5.4
Braddock: Missing in Action III	4.7
Iron Eagle II	3.6
Camille Claudel	7.3
Big Top Pee-wee	4.9
Stormy Monday	6.3
The Chocolate War	6.9
As Tears Go By	7.1
Spellbinder	5.8
The Boost	6.1
Moon Over Parador	5.9
Ernest Saves Christmas	5.6
A World Apart	7.1
Cop	6.4
Buster	5.8
Crossing Delancey	6.9
Paperhouse	6.8
Clara's Heart	6.3
Shakedown	5.9
The Couch Trip	5.7
Gandahar	7.1
Permanent Record	6.4
The Kiss	5.5
36 fillette	6.0
Hero and the Terror	5.2
Hot to Trot	4.4
Everybody's All-American	6.2
Judgement in Berlin	5.9
And God Created Woman	4.3
High Hopes	7.6
The Good Mother	5.9
Sunset	5.7
For Queen & Country	5.7
Heart of Midnight	5.3
Rocket Gibraltar	6.6
Jack's Back	6.0
Tapeheads	5.8
A Handful of Dust	6.8
Track 29	5.9
Salsa	4.9
Bad Dreams	5.6
Stars and Bars	4.8
It Takes Two	5.7
Patty Hearst	6.3
Arthur 2: On the Rocks	4.3
Heartbreak Hotel	5.7
Story of Women	7.6
The In Crowd	6.3
Last Rites	5.2
Messenger of Death	5.5
Platoon Leader	5.4
The Moderns	6.7
Switching Channels	5.9
Chocolat	7.4
Crusoe	6.3
Distant Voices, Still Lives	7.5
A Summer Story	7.5
The Wrong Guys	5.0
Off Limits	6.2
Feds	5.3
The House on Carroll Street	6.2
Taffin	5.6
Dominick and Eugene	7.1
Salome's Last Dance	6.7
Illegally Yours	4.2
Tiger Warsaw	4.7
Kansas	5.4
Mr. North	5.9
The Unholy	4.9
Miles from Home	5.7
Things Change	7.0
Bulletproof	5.0
Memories of Me	5.7
Sweet Hearts Dance	5.7
Out of the Dark	5.4
The Deceivers	6.1
Cameron's Closet	4.9
The Navigator: A Medieval Odyssey	7.0
Pass the Ammo	6.1
Dead Poets Society	8.0
Batman	7.6
Pet Sematary	6.6
Indiana Jones and the Last Crusade	8.3
The Little Mermaid	7.6
Tango & Cash	6.3
Road House	6.5
National Lampoon's Christmas Vacation	7.6
Bill & Ted's Excellent Adventure	6.9
Field of Dreams	7.5
Back to the Future Part II	7.8
The Abyss	7.6
Uncle Buck	7.0
Do the Right Thing	7.9
Weekend at Bernie's	6.4
Glory	7.9
When Harry Met Sally...	7.6
Steel Magnolias	7.2
Ghostbusters II	6.5
Say Anything...	7.4
Look Who's Talking	5.8
Leviathan	5.8
Honey, I Shrunk the Kids	6.3
Major League	7.2
Born on the Fourth of July	7.2
The Karate Kid Part III	5.0
The 'Burbs	6.9
Parenthood	7.0
Lethal Weapon 2	7.2
Licence to Kill	6.6
Wild Orchid	4.5
My Left Foot	7.9
Little Monsters	6.1
Always	6.4
Sex, Lies, and Videotape	7.2
Lean on Me	7.4
The Cook, the Thief, His Wife & Her Lover	7.6
Star Trek V: The Final Frontier	5.4
Driving Miss Daisy	7.4
Gleaming the Cube	6.2
Casualties of War	7.1
Teen Witch	6.2
See No Evil, Hear No Evil	6.8
Kickboxer	6.4
A Nightmare on Elm Street 5: The Dream Child	5.1
Halloween 5	5.2
Turner & Hooch	6.1
Terror a bordo	6.8
Friday the 13th Part VIII: Jason Takes Manhattan	4.6
Harlem Nights	5.9
Black Rain	6.6
All Dogs Go to Heaven	6.7
Cyborg	5.0
Fletch Lives	6.1
The Wizard	6.0
The War of the Roses	6.8
Henry V	7.7
Troop Beverly Hills	5.5
Sea of Love	6.8
Best of the Best	6.4
The Fly II	4.9
Blue Steel	5.6
Loverboy	5.9
Valmont relaciones peligrosas	7.0
Drugstore Cowboy	7.4
Tie Me Up! Tie Me Down!	7.0
Dream a Little Dream	5.9
Warlock	6.2
Little Nemo: Adventures in Slumberland	7.2
Eddie and the Cruisers II: Eddie Lives!	6.2
Lock Up	6.4
After Midnight	5.6
Millennium	5.7
UHF	7.0
The Fabulous Baker Boys	6.8
Shag	6.3
Crimes and Misdemeanors	8.0
Mystery Train	7.6
Great Balls of Fire!	6.2
DeepStar Six	5.2
Shocker	5.4
Three Fugitives	6.1
Shirley Valentine	7.2
Blind Fury	6.3
Next of Kin	5.7
New York Stories	6.4
Robot Jox	5.3
The Dream Team	6.5
She-Devil	5.5
The Return of Swamp Thing	4.5
Family Business	5.7
We're No Angels	6.0
Chances Are	6.4
Johnny Handsome	6.1
K-9	6.0
Scandal	6.5
The Phantom of the Opera	5.5
Fat Man and Little Boy	6.5
An Innocent Man	6.4
Pink Cadillac	5.3
She's Out of Control	5.3
Who's Harry Crumb?	5.8
No Holds Barred	4.3
Skin Deep	6.1
The Horror Show	4.9
The Mighty Quinn	6.1
Police Academy 6: City Under Siege	4.2
Dad	6.2
Last Exit to Brooklyn	6.9
The Blood of Heroes	6.5
A Dry White Season	7.0
Cousins	6.3
Communion	5.7
Erik the Viking	6.2
Parents	6.2
The Big Picture	6.3
The Package	6.4
Tap	6.5
I, Madman	6.1
The January Man	5.6
Blaze	5.9
Let It Ride	6.9
Jacknife	6.4
In Country	5.9
Longtime Companion	7.5
Her Alibi	5.7
Cannonball Fever	4.3
Kill Me Again	6.3
The Toxic Avenger Part II	5.1
The Gods Must Be Crazy II	6.8
Wicked Stepmother	4.1
Music Box	7.4
The Lemon Sisters	4.9
Prancer	6.3
The Experts	4.7
Lisa	5.9
Stepfather II	5.6
True Believer	6.7
Kinjite: Forbidden Subjects	5.4
The Tall Guy	6.2
Heart of Dixie	5.2
Dead Bang	6.1
Sweetie	6.9
The Unbelievable Truth	7.5
Gross Anatomy	6.1
American Ninja 3: Blood Hunt	3.4
How to Get Ahead in Advertising	7.0
The Rainbow	6.4
The Toxic Avenger Part III: The Last Temptation of Toxie	4.4
Listen to Me	5.3
Winter People	6.3
Enemies: A Love Story	6.8
Violent Cop	7.2
Sing	6.8
Jesus of Montreal	7.5
Old Gringo	5.8
Farewell to the King	6.3
Renegades	5.3
Brenda Starr	4.6
Worth Winning	6.0
Staying Together	6.3
Lost Angels	6.1
84C MoPic	7.0
Scenes from the Class Struggle in Beverly Hills	6.2
The Terror Within	4.9
Romero	7.3
Relentless	5.9
The Rachel Papers	6.1
Immediate Family	6.1
My Twentieth Century	7.1
Disorganized Crime	6.3
Wired	4.4
Triumph of the Spirit	6.9
Monsieur Hire	7.7
Rude Awakening	4.4
Chattahoochee	6.4
How I Got Into College	5.8
Second Sight	4.4
River of Death	4.2
Miss Firecracker	6.1
See You in the Morning	5.8
Physical Evidence	5.1
Cookie	5.2
Bloodhounds of Broadway	5.7
Powwow Highway	7.3
True Love	6.0
Cheetah	6.1
Mama, There's a Man in Your Bed	6.9
Cold Feet	4.7
Edge of Sanity	5.3
Fast Food	4.3
Getting It Right	6.5
Rooftops	4.6
Out Cold	5.5
Dark Obsession	4.8
Mortal Passions	4.8
Slaves of New York	5.4
Night Visitor	4.5
A Chorus of Disapproval	5.7
Cage	4.9
Bloodfist	4.8
Night Game	4.9
Breaking In	6.1
Strapless	5.8
Life and Nothing But	7.5
Too Beautiful for You	6.7
Rosalie Goes Shopping	6.0
Torrents of Spring	6.0
How to Make Love to a Negro Without Getting Tired	4.6
Fist Fighter	5.0
Welcome Home	5.7
Chameleon Street	7.1
Queen of Hearts	6.9
Signs of Life	6.3
Crack House	5.6
Martians Go Home	2.8
Bye Bye Blues	7.2
Cruising Bar	6.8
Bert Rigby, You're a Fool	6.1
Beverly Hills Brats	3.9
Flatliners	6.6
Goodfellas	8.7
The Handmaid's Tale	6.0
Misery	7.8
El vengador del futuro	7.5
Pretty Woman	7.0
Home Alone	7.5
Edward Scissorhands	7.9
The Godfather: Part III	7.6
Dances with Wolves	8.0
The Hunt for Red October	7.6
Child's Play 2	5.8
Ghost	7.0
Tremors	7.1
Joe Versus the Volcano	5.7
Wild at Heart	7.2
The Witches	6.8
Jacob's Ladder	7.5
Teenage Mutant Ninja Turtles	6.7
Arachnophobia	6.4
Die Hard 2	7.1
Dick Tracy	6.1
Awakenings	7.8
Lord of the Flies	6.4
Problem Child	5.3
Days of Thunder	5.9
Cry-Baby	6.5
Back to the Future Part III	7.4
Rocky V	5.2
Kindergarten Cop	6.1
Predator 2	6.2
The NeverEnding Story II: The Next Chapter	5.1
RoboCop 2	5.8
Miller's Crossing	7.8
Leatherface: Texas Chainsaw Massacre III	5.2
The Adventures of Ford Fairlane	6.3
La Femme Nikita	7.4
Darkman	6.4
Presumed Innocent	6.9
Gremlins 2: The New Batch	6.3
Nightbreed	6.5
Mermaids	6.6
Night of the Living Dead	6.9
Tales from the Darkside: The Movie	6.2
State of Grace	7.3
Lionheart	6.1
Revenge	6.2
Look Who's Talking Too	4.5
Hard to Kill	5.7
The Krays	6.7
The Exorcist III	6.3
The Hot Spot	6.4
Henry & June	6.3
Graveyard Shift	4.8
El verdugo de Nueva York	7.0
The Rescuers Down Under	6.9
Young Guns II	6.5
House Party	6.3
Hamlet	6.8
Pump Up the Volume	7.2
Class of 1999	5.8
Marked for Death	5.9
Air America	5.7
The Rookie	5.8
Internal Affairs	6.5
Rosencrantz & Guildenstern Are Dead	7.6
Navy Seals	5.5
Quigley Down Under	6.8
Pacific Heights	6.4
The Bonfire of the Vanities	5.5
Almost an Angel	5.4
Dreams	7.8
Hardware	5.9
DuckTales the Movie: Treasure of the Lost Lamp	6.9
White Palace	6.5
Memphis Belle	6.9
Dark Angel	6.0
Miami Blues	6.4
Bird on a Wire	5.9
The Comfort of Strangers	6.4
Desperate Hours	5.4
Another 48 Hrs.	5.8
Men at Work	5.9
3 Men and a Little Lady	5.3
Postcards from the Edge	6.7
Quick Change	6.8
My Blue Heaven	6.2
The Freshman	6.5
The Grifters	7.0
The Two Jakes	6.1
Death Warrant	5.6
Cyrano de Bergerac	7.6
Reversal of Fortune	7.3
I Love You to Death	6.4
Frankenhooker	6.1
A Cry in the Wild	5.4
The Field	7.4
Mr. Destiny	6.3
The Russia House	6.1
Heart Condition	5.6
Green Card	6.2
Mo' Better Blues	6.6
Days of Being Wild	7.6
Stanley & Iris	6.3
Fire Birds	4.7
Bad Influence	6.2
Taking Care of Business	6.4
Life Is Sweet	7.5
Truly Madly Deeply	7.3
The Sheltering Sky	6.8
Close-Up	8.3
Havana	6.1
Welcome Home, Roxy Carmichael	5.9
The Hairdresser's Husband	7.4
Repossessed	4.8
Flashback	6.2
Cadillac Man	5.6
American Ninja 4: The Annihilation	3.8
Two Evil Eyes	6.1
Alice	6.6
The Guardian	5.3
Narrow Margin	6.6
White Hunter Black Heart	6.7
Delta Force 2: The Colombian Connection	4.7
Metropolitan	7.5
Trust	7.5
The Boyfriend School	5.9
Happily Ever After	5.1
Brain Dead	6.1
Q & A	6.5
Avalon	7.3
Cadence	6.6
Mountains of the Moon	7.3
Ghost Dad	4.3
An Angel at My Table	7.6
Crazy People	5.9
Lambada	3.2
Ernest Goes to Jail	5.4
The First Power	5.7
Vincent & Theo	7.1
Spaced Invaders	5.3
Texasville	6.0
After Dark, My Sweet	6.6
Ski Patrol	5.4
Slumber Party Massacre III	4.4
Graffiti Bridge	4.3
Side Out	5.5
Jetsons: The Movie	5.5
Men Don't Leave	6.7
Europa Europa	7.7
Nuns on the Run	5.9
Loose Cannons	4.8
Stella	6.0
The Forbidden Dance	3.4
Mr. & Mrs. Bridge	6.7
Madhouse	5.3
The Long Walk Home	7.3
Hidden Agenda	7.0
Book of Love	6.1
Betsy's Wedding	5.6
Coupe de Ville	6.7
A Shock to the System	6.7
Funny About Love	4.9
Sibling Rivalry	5.4
Gate 2: The Trespassers	4.7
Roger Corman's Frankenstein Unbound	5.5
Everybody's Fine	7.8
Come See the Paradise	6.7
Meet the Applegates	5.4
The Shrimp on the Barbie	5.6
Boiling Point	6.8
El príncipe Cascanueces	6.9
Body Chemistry	4.4
Soultaker	2.3
Mindwalk	7.6
Where the Heart Is	6.2
Crossing the Line	5.8
Opportunity Knocks	6.0
Def by Temptation	4.4
Streets	6.0
Tune in Tomorrow...	6.2
Ju Dou	7.8
The Nasty Girl	7.5
Courage Mountain	5.8
Downtown	5.7
The Fourth War	5.7
To Sleep with Anger	7.2
The Haunting of Morella	3.9
Impulse	5.7
Short Time	6.4
My Mother's Castle	7.6
Vital Signs	5.4
Everybody Wins	5.0
¡Ay, Carmela!	7.2
Mister Johnson	6.5
Love at Large	5.8
China Cry: A True Story	7.0
Love & Murder	4.4
A Show of Force	5.2
A Tale of Springtime	7.4
C'est la vie	6.3
May Fools	7.2
The Misadventures of Mr. Wilt	6.3
My Father's Glory	7.6
Auntie Danielle	7.3
Daddy's Dyin'... Who's Got the Will?	5.8
Journey of Hope	7.6
Ultra Warrior	1.6
Angel Town	5.0
Waiting for the Light	6.0
The Last of the Finest	5.7
Archangel	6.8
Men of Respect	5.3
Strike It Rich	5.1
Heaven and Earth	7.1
I, the Worst of All	7.1
The End of Innocence	5.6
Taxi Blues	7.5
The Return of Superfly	5.0
Chicago Joe and the Showgirl	4.9
The Silence of the Lambs	8.6
Terminator 2: Judgment Day	8.5
Beauty and the Beast	8.0
Boyz n the Hood	7.8
The Addams Family	6.8
Fried Green Tomatoes	7.7
Hook	6.7
Punto de quiebra	7.2
Thelma & Louise	7.4
Cape Fear	7.3
My Girl	6.8
Robin Hood: Prince of Thieves	6.9
The Commitments	7.6
Child's Play 3	5.0
Return to the Blue Lagoon	5.1
Star Trek VI: The Undiscovered Country	7.2
JFK	8.0
Barton Fink	7.7
The Rocketeer	6.4
Naked Lunch	7.1
Father of the Bride	6.5
Hot Shots!	6.7
Nothing But Trouble	4.9
Delicatessen	7.7
